0.03,10cmapr,10cmdec,10cmfeb,10cmjan,10cmjul,10cmjun,10cmmar,10cmmay,10cmnov,10cmsep,1cmapr,1cmdec,1cmfeb,1cmjan,1cmjul,1cmjun,1cmmar,1cmmay,1cmnov,1cmsep,2cmapr,2cmdec,2cmfeb,2cmjan,2cmjul,2cmjun,2cmmar,2cmmay,2cmnov,2cmsep,3cmapr,3cmdec,3cmfeb,3cmjan,3cmjul,3cmjun,3cmmar,3cmmay,3cmnov,3cmsep,4cmapr,4cmdec,4cmfeb,4cmjan,4cmjul,4cmjun,4cmmar,4cmmay,4cmnov,4cmsep,5cmapr,5cmdec,5cmfeb,5cmjan,5cmjul,5cmjun,5cmmar,5cmmay,5cmnov,5cmsep,6cmapr,6cmdec,6cmfeb,6cmjan,6cmjul,6cmjun,6cmmar,6cmmay,6cmnov,6cmsep,7cmapr,7cmdec,7cmfeb,7cmjan,7cmjul,7cmjun,7cmmar,7cmmay,7cmnov,7cmsep,8cmapr,8cmdec,8cmfeb,8cmjan,8cmjul,8cmjun,8cmmar,8cmmay,8cmnov,9cmapr,9cmdec,9cmfeb,9cmjan,9cmjul,9cmjun,9cmmar,9cmmay,9cmnov,9cmsep,blank12mar18,std1,std2,std3,std4,std5,OTU,Seqs,Taxonomy
Otu0011,614,0,36,34,140,0,0,85,744,144,0,14,46,0,3,0,0,0,0,31,9,1,33,19,3,0,0,0,296,52,1,43,0,1,23,40,0,0,115,30,0,39,3,60,33,10,1,0,128,109,0,69,2,3,0,3,29,0,116,156,0,7,12,0,146,1,44,0,21,27,0,58,28,5,452,2,21,0,61,535,2,239,38,52,109,54,1,0,380,1,1,23,9,1239,372,2,53,625,542,0,0,0,0,0,1,Otu0011,8481,Eukaryota(100);Alveolata(100);Dinoflagellata(100);Dinophyceae(100);Gonyaulacales(100);Goniodomataceae(100);Alexandrium(100);Alexandrium_fundyense(99);
Otu0012,655,0,90,30,129,53,0,19,284,173,4,7,34,2,14,35,6,0,52,35,9,8,21,26,11,22,0,0,147,26,0,35,17,14,31,73,1,0,59,27,0,17,12,40,49,22,4,0,148,58,1,51,9,4,111,6,76,4,244,146,35,6,44,2,68,4,119,0,111,35,122,58,61,6,143,31,37,0,117,152,404,139,86,29,78,25,2,0,232,456,9,89,30,438,296,9,31,385,288,0,0,1,2,0,0,Otu0012,7331,Eukaryota(100);Alveolata(100);Dinoflagellata(100);Dinophyceae(100);Dinophyceae_X(96);Tovelliaceae(96);Woloszynskia(96);Woloszynskia_halophila(95);
Otu0013,0,0,0,0,0,2485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,1,0,0,0,0,0,0,0,0,0,0,950,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,Otu0013,7238,Eukaryota(100);Opisthokonta(100);Metazoa(100);Platyhelminthes(100);Turbellaria(100);Rhabdocoela(100);Phonorhynchus(100);Phonorhynchus_helgolandicus(100);
Otu0014,444,0,45,36,109,0,0,45,543,95,0,14,40,0,3,0,0,0,1,23,5,3,23,23,1,0,0,0,197,48,0,26,0,2,14,28,0,0,79,18,0,44,5,69,20,15,0,0,83,87,0,52,0,0,0,1,37,0,90,143,0,8,16,0,135,0,45,0,16,7,0,50,20,3,300,7,18,0,36,404,0,193,30,56,65,34,3,0,258,1,3,24,15,948,333,5,37,520,385,0,0,0,0,0,0,Otu0014,6486,Eukaryota(100);Alveolata(100);Dinoflagellata(100);Dinophyceae(100);Gonyaulacales(100);Goniodomataceae(100);Alexandrium(100);Alexandrium_fundyense(100);
Otu0015,0,0,0,49,0,0,0,1,43,66,4,0,37,0,257,267,286,4,108,70,0,13,7,0,16,0,62,0,120,19,0,0,34,57,110,5,26,0,65,80,0,0,19,0,36,128,60,2,117,136,0,35,20,0,84,0,191,0,93,222,0,3,69,25,0,0,0,0,591,34,0,220,0,102,0,0,56,0,35,0,0,0,105,32,35,0,0,0,0,5,0,474,239,0,0,3,93,0,0,0,0,0,0,0,0,Otu0015,5070,Eukaryota(100);Opisthokonta(100);Metazoa(100);Gastrotricha(100);Gastrotricha_X(100);Gastrotricha_XX(100);Gastrotricha_XX_unclassified(100);Gastrotricha_XX_unclassified(100);
Otu0016,1,0,0,127,0,95,0,0,0,0,11,7,225,7,10,700,503,6,908,25,0,26,0,274,17,2,1,0,130,0,0,27,0,6,0,26,0,0,81,0,0,4,0,29,0,0,0,0,45,0,0,0,0,2,0,58,4,0,0,47,0,2,0,6,0,0,0,0,0,0,0,1,72,99,0,0,0,0,49,6,0,258,0,212,0,6,5,0,29,2,4,140,1,0,0,0,0,0,60,0,0,0,0,0,0,Otu0016,4356,Eukaryota(100);Opisthokonta(100);Metazoa(100);Nematoda(100);Chromadorea(100);Chromadorea_X(100);Daptonema(100);Daptonema_oxycerca(100);
Otu0017,0,0,0,31,0,0,0,5,2,0,1,2,0,0,6,7,2,0,54,41,0,0,5,27,7,47,2,0,366,0,0,10,0,0,34,27,0,0,137,0,0,0,0,33,20,41,0,0,671,83,0,12,0,1,237,2,0,0,611,108,0,0,3,0,37,3,123,0,228,0,11,0,37,0,0,0,7,0,241,41,42,0,0,22,0,58,0,0,385,97,0,1,11,0,51,3,16,0,0,0,0,0,1,0,0,Otu0017,4050,Eukaryota(100);Opisthokonta(100);Metazoa(100);Arthropoda(100);Crustacea(100);Crustacea_X(100);Crustacea_XX(100);Crustacea_XX_sp.(100);
Otu0018,0,0,0,1,0,0,0,0,0,0,0,0,0,14,0,3822,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Otu0018,3842,Eukaryota(100);Opisthokonta(100);Metazoa(100);Arthropoda(100);Crustacea(100);Maxillopoda(100);Maxillopoda_unclassified(100);Maxillopoda_unclassified(100);
Otu0019,102,0,12,30,39,15,0,12,243,153,0,24,50,1,17,87,0,0,109,80,0,8,14,34,6,62,0,0,43,13,0,30,6,11,136,77,0,0,147,74,0,24,2,16,32,44,2,0,132,18,0,22,2,1,88,2,21,4,282,39,3,6,8,1,25,0,30,0,122,9,8,3,8,9,8,2,8,0,242,44,23,40,9,14,18,12,1,0,279,32,1,12,25,10,52,1,18,88,12,0,0,0,0,0,0,Otu0019,3549,Eukaryota(100);Stramenopiles(100);Ochrophyta(100);Bacillariophyta(100);Bacillariophyta_X(100);Polar-centric-Mediophyceae(100);Polar-centric-Mediophyceae_unclassified(100);Polar-centric-Mediophyceae_unclassified(100);
Otu0020,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,122,0,2,0,80,0,0,155,0,39,46,0,0,107,0,0,0,0,4,0,283,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,1263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,96,0,0,0,38,0,0,0,0,0,230,307,0,0,0,0,0,0,0,0,0,0,0,0,Otu0020,2807,Eukaryota(100);Opisthokonta(100);Metazoa(100);Nematoda(100);Chromadorea(100);Chromadorea_X(100);Sphaerolaimus(100);Sphaerolaimus_hirsutus(100);
Otu0021,52,0,14,79,2,24,1,8,51,25,1,8,26,17,71,73,13,1,17,11,1,3,7,121,23,50,8,2,14,5,0,28,15,18,168,123,16,5,73,7,0,21,4,6,3,85,83,8,52,7,1,5,8,5,21,3,22,6,30,13,3,2,9,4,7,395,111,0,98,32,3,4,15,14,0,156,4,0,33,0,9,33,6,31,3,2,0,1,75,6,1,49,36,0,12,2,5,77,1,0,0,0,0,0,0,Otu0021,2803,Eukaryota(100);Alveolata(100);Apicomplexa(100);Gregarinomorphea(100);Eugregarinorida(100);Lecudinidae(100);Lecudinidae_unclassified(100);Lecudinidae_unclassified(100);
Otu0022,69,0,0,6,22,7,0,3,214,232,0,3,13,0,13,68,1,0,21,80,1,0,4,5,15,183,0,0,15,19,0,9,5,2,54,31,0,0,151,60,0,1,6,3,11,26,0,0,390,15,0,6,1,0,31,1,9,0,154,45,0,0,5,1,16,2,33,0,118,10,0,3,5,1,6,3,15,0,201,63,2,4,8,2,7,9,0,0,66,2,0,2,11,69,26,0,8,52,12,0,0,0,0,0,0,Otu0022,2767,Eukaryota(100);Stramenopiles(100);Ochrophyta(100);Bacillariophyta(100);Bacillariophyta_X(100);Polar-centric-Mediophyceae(100);Skeletonema(100);Skeletonema_marinoi(100);
Otu0023,0,0,0,0,0,301,0,0,0,0,4,25,0,42,113,347,42,0,18,0,0,0,0,109,0,1,6,0,18,63,0,0,130,0,0,0,0,0,298,0,0,146,0,0,0,156,54,0,116,0,0,0,52,14,0,0,133,0,64,0,9,4,0,40,0,0,45,0,0,3,0,0,207,106,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,Otu0023,2753,Eukaryota(100);Opisthokonta(100);Metazoa(100);Gastrotricha(100);Gastrotricha_X(100);Gastrotricha_XX(100);Gastrotricha_XX_unclassified(100);Gastrotricha_XX_unclassified(100);
Otu0024,110,0,4,5,36,13,0,4,135,68,0,0,6,0,35,76,0,0,26,15,0,3,8,19,4,5,0,0,39,28,0,8,3,3,29,12,0,0,57,20,0,2,2,23,7,4,0,0,182,46,0,13,0,0,25,0,10,0,251,26,0,0,20,1,9,4,26,0,180,7,0,12,23,1,85,10,9,0,72,15,6,58,21,30,5,0,0,0,124,0,1,8,5,48,59,1,0,317,0,0,0,0,0,0,0,Otu0024,2519,Eukaryota(100);Alveolata(100);Dinoflagellata(100);Dinophyceae(100);Dinophyceae_unclassified(100);Dinophyceae_unclassified(100);Dinophyceae_unclassified(100);Dinophyceae_unclassified(100);
Otu0025,252,0,0,19,0,0,0,32,74,122,0,0,0,0,0,65,0,0,0,0,0,0,0,16,0,0,0,0,67,6,0,14,0,0,0,1,0,0,0,0,0,10,0,20,42,0,5,0,0,49,0,0,0,1,39,3,13,0,54,58,0,0,29,2,31,0,41,0,47,0,0,10,0,6,147,0,11,0,40,38,0,2,105,0,24,5,1,0,30,0,7,12,0,252,107,2,12,152,0,0,0,0,0,0,0,Otu0025,2075,Eukaryota(100);Alveolata(100);Dinoflagellata(100);Dinophyceae(100);Peridiniales(100);Thoracosphaeraceae(100);Stoeckeria(100);Stoeckeria_algicida(100);
Otu0026,35,0,7,71,35,0,0,0,15,16,2,35,65,10,70,319,102,1,328,44,0,0,10,19,12,63,0,0,93,15,0,9,4,2,3,68,1,0,28,19,0,28,0,18,0,1,2,0,9,19,0,19,1,3,20,0,0,5,28,0,0,2,9,1,0,0,0,0,0,5,0,26,2,42,0,0,13,0,0,0,0,29,0,46,0,16,0,0,0,0,3,8,10,0,0,0,11,12,98,0,0,0,0,0,0,Otu0026,1987,Eukaryota(100);Opisthokonta(100);Metazoa(100);Nematoda(100);Chromadorea(100);Chromadorea_unclassified(87);Chromadorea_unclassified(87);Chromadorea_unclassified(87);
Otu0027,89,0,21,11,3,19,0,12,33,23,0,27,9,2,4,31,6,1,34,2,3,3,14,14,3,17,3,0,15,8,0,47,15,3,7,7,0,0,27,2,0,20,4,11,22,10,6,0,91,13,0,9,4,0,33,8,15,5,131,48,0,0,13,1,15,12,145,0,111,16,0,13,22,2,2,63,7,0,85,66,0,7,33,25,39,13,0,0,90,0,3,60,5,9,26,4,11,30,30,0,0,0,0,1,0,Otu0027,1904,Eukaryota(100);Stramenopiles(100);Ochrophyta(100);Bacillariophyta(100);Bacillariophyta_X(100);Raphid-pennate(100);Surirella(100);Surirella_unclassified(100);
Otu0028,0,0,0,0,1744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Otu0028,1753,Eukaryota(100);Archaeplastida(100);Streptophyta(100);Embryophyceae(100);Embryophyceae_X(100);Embryophyceae_XX(100);Embryophyceae_XX_unclassified(100);Embryophyceae_XX_unclassified(100);
Otu0029,199,0,10,7,37,2,0,16,82,96,3,1,7,0,2,29,0,0,15,8,1,0,5,6,0,2,0,0,78,3,0,6,2,0,7,3,0,0,25,5,0,8,1,7,9,4,0,0,75,15,0,14,0,0,18,0,13,0,49,17,2,4,2,0,43,0,3,0,8,14,4,3,1,0,37,2,0,0,14,24,118,23,1,9,40,10,0,0,54,141,0,4,0,70,36,0,21,106,71,0,0,0,1,0,0,Otu0029,1753,Eukaryota(100);Rhizaria(100);Cercozoa(100);Filosa-Thecofilosea(100);Cryomonadida(100);Cryomonadida_unclassified(100);Cryomonadida_unclassified(100);Cryomonadida_unclassified(100);
Otu0030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,114,0,0,0,0,357,0,0,0,0,0,0,0,0,1,397,0,0,0,0,0,0,0,0,0,298,0,66,0,0,0,0,0,0,80,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Otu0030,1723,Eukaryota(100);Opisthokonta(100);Metazoa(100);Nematoda(100);Chromadorea(100);Chromadorea_X(100);Spirinia(100);Spirinia_parasitifera(100);
Otu0031,270,0,40,4,0,10,0,0,24,17,0,9,21,9,2,30,1,0,5,0,2,6,13,22,6,3,2,0,13,0,0,19,1,6,18,39,0,0,17,4,0,7,6,4,20,2,5,0,9,25,0,6,0,2,10,0,16,0,45,57,0,0,2,3,29,8,156,0,0,9,0,6,21,3,0,17,23,0,15,54,0,0,48,14,0,9,0,0,109,0,2,79,6,49,132,0,6,13,75,0,0,0,0,0,1,Otu0031,1716,Eukaryota(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);
Otu0032,152,0,22,10,20,16,0,6,51,34,0,4,6,2,2,7,3,0,8,9,4,0,7,10,4,15,0,0,9,10,0,16,3,1,11,5,0,0,19,14,0,10,3,10,9,12,7,0,26,15,3,8,1,0,18,4,18,1,54,32,8,2,10,0,22,5,77,0,62,14,2,17,20,3,29,31,9,0,48,36,38,31,38,12,10,8,3,0,55,69,2,25,7,45,64,0,3,56,69,0,0,1,0,0,0,Otu0032,1642,Eukaryota(100);Stramenopiles(100);Ochrophyta(100);Bacillariophyta(100);Bacillariophyta_X(100);Araphid-pennate(98);Araphid-pennate_unclassified(98);Araphid-pennate_unclassified(98);
Otu0033,290,0,6,36,42,28,0,0,80,138,5,0,5,0,1,0,0,0,0,0,3,2,0,0,0,4,0,0,0,25,0,6,8,0,12,0,0,0,52,21,0,3,1,0,0,0,0,0,0,0,0,72,0,0,43,2,0,0,0,77,0,15,3,0,20,0,6,0,13,0,1,28,2,0,0,0,2,0,0,0,18,65,1,14,120,0,0,0,85,150,0,4,12,0,34,0,39,0,0,0,0,0,1,0,0,Otu0033,1595,Eukaryota(100);Alveolata(100);Dinoflagellata(100);Dinophyceae(100);Gonyaulacales(100);Gonyaulacaceae(100);Gonyaulax(100);Gonyaulax_spinifera(100);
Otu0034,25,0,3,10,5,1,0,2,0,7,0,7,268,10,9,47,69,0,721,82,0,0,0,2,3,24,0,0,71,1,0,0,3,1,1,23,0,0,24,0,0,5,2,0,0,0,0,0,19,4,0,3,1,0,0,0,1,0,3,5,0,0,3,0,0,0,17,0,3,2,0,11,7,1,0,0,1,0,16,5,0,11,1,7,0,1,0,0,3,0,1,7,1,0,0,0,1,3,5,0,0,0,0,0,0,Otu0034,1569,Eukaryota(100);Stramenopiles(100);Ochrophyta(100);Bacillariophyta(100);Bacillariophyta_X(100);Raphid-pennate(100);Navicula(100);Navicula_unclassified(100);
Otu0035,0,0,0,0,224,0,0,0,0,249,0,17,0,0,18,0,0,0,0,109,0,5,6,0,54,65,2,0,0,38,0,55,22,0,0,0,0,0,0,0,0,0,0,0,19,31,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,4,0,1,0,0,42,0,1,27,0,46,0,70,0,0,0,0,0,0,7,0,207,3,0,0,178,0,0,0,0,0,0,Otu0035,1522,Eukaryota(100);Opisthokonta(100);Metazoa(100);Nematoda(100);Chromadorea(100);Chromadorea_X(100);Chromadorea_X_unclassified(100);Chromadorea_X_unclassified(100);
Otu0036,174,0,8,4,13,3,0,5,77,41,3,1,2,0,0,10,0,0,0,1,3,0,3,8,1,1,0,0,25,6,0,0,0,0,7,4,0,0,7,1,0,6,1,5,3,2,0,0,4,14,0,14,1,1,22,0,5,0,14,31,7,5,7,1,25,0,13,0,12,10,22,13,2,0,30,1,0,0,13,32,104,52,9,7,36,7,0,0,32,146,1,4,1,125,23,0,21,99,96,0,0,0,3,0,0,Otu0036,1490,Eukaryota(100);Rhizaria(100);Cercozoa(100);Filosa-Thecofilosea(100);Ventricleftida(100);CCW10-lineage(100);CCW10-lineage_X(100);CCW10-lineage_X_sp.(100);
Otu0037,0,0,0,31,0,0,0,0,254,0,0,0,0,0,3,219,0,1,0,0,0,3,0,0,13,26,0,0,8,59,0,116,0,0,21,52,0,0,82,0,0,18,0,0,53,0,0,0,119,30,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,44,0,0,0,0,0,0,0,99,0,137,0,0,0,0,1,0,1,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,Otu0037,1463,Eukaryota(100);Opisthokonta(100);Metazoa(100);Nematoda(100);Chromadorea(100);Chromadorea_X(100);Axonolaimus(100);Axonolaimus_sp.(100);
Otu0038,33,0,20,3,19,12,0,10,35,10,0,1,7,2,1,2,4,2,5,4,0,0,5,7,1,9,0,0,14,6,0,7,2,12,3,1,0,0,7,9,0,2,0,7,5,4,5,0,14,19,0,2,2,0,25,1,18,2,21,36,42,3,5,0,11,4,68,0,41,7,69,10,28,4,26,9,7,0,13,9,80,25,32,6,10,10,0,0,38,232,2,21,12,43,19,0,3,70,68,0,0,0,0,0,0,Otu0038,1443,Eukaryota(100);Archaeplastida(100);Streptophyta(100);Embryophyceae(100);Embryophyceae_X(100);Embryophyceae_XX(100);Zostera(100);Zostera_marina(100);
Otu0039,122,0,25,17,18,7,0,9,95,14,1,8,4,4,2,9,7,0,15,12,1,6,4,4,1,0,0,0,43,3,0,19,0,7,2,9,0,0,8,7,0,4,4,10,10,10,1,0,58,21,0,5,0,2,12,0,11,2,48,67,5,2,12,1,17,1,24,0,39,17,7,13,4,7,31,11,7,0,37,52,14,33,6,9,8,5,3,0,59,32,0,18,12,87,25,0,6,13,63,0,0,0,0,0,0,Otu0039,1428,Eukaryota(100);Alveolata(100);Ciliophora(100);Spirotrichea(100);Tintinnida(100);TIN_04(100);Tintinnopsis_04(100);Tintinnopsis_parvula(100);
Otu0040,0,0,0,0,0,221,0,4,0,0,0,0,1,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,50,0,0,156,289,9,0,0,0,0,11,4,0,0,0,1,0,0,1,0,24,0,0,2,0,38,0,459,0,0,0,0,0,0,Otu0040,1387,Eukaryota(100);Opisthokonta(100);Metazoa(100);Annelida(100);Annelida_X(100);Annelida_XX(100);Tubificoides(92);Tubificoides_unclassified(92);
